"","catch.date","person","species","PIT.tag","length","mass","age.class","sex","repro","air.temp","zscore.mass","zscore.length","zscore.max"
"897",2008-08-08,"TER, CIK","rattlesnake","497F793203",NA,96,"juvenile","male",NA,"26.8",0.675796291472397,NA,0.675796291472397
"898",2008-08-08,"TER, CIK","rattlesnake","4A4F646C73",NA,151,"sub.adult","female","nongravid","27",0.162691475113617,NA,0.162691475113617
"899",2008-08-09,". GC staff","rattlesnake","471D5C445B",NA,310,"adult","male",NA,"",1.32064790308722,NA,1.32064790308722
"900",2008-08-10,"CIK","rattlesnake","4578502655",NA,387,"adult","male",NA,"",2.03899464598951,NA,2.03899464598951
"901",2008-08-10,"CIK","rattlesnake","4556380C57",NA,229,"adult","female","nongravid","",0.564984446267924,NA,0.564984446267924
"902",2008-08-11,"CIK","rattlesnake","452F616938",NA,309,"adult","male",NA,"",1.31131872460797,NA,1.31131872460797
"903",2008-08-12,"Weeding Crew","rattlesnake","4557035952",NA,155,"sub.adult","male",NA,"",0.125374761196615,NA,0.125374761196615
"904",2008-08-12,"CIK","rattlesnake","453518405C",NA,144,"adult","female","nongravid","34.9",0.227995724468371,NA,0.227995724468371
"905",2008-08-12,"CIK","rattlesnake","4554241A47",NA,89,"juvenile","female","nongravid","",0.741100540827151,NA,0.741100540827151
"906",2008-08-12,"Weeding Crew","rattlesnake","45550A615D",NA,60,"juvenile","male",NA,"18.2",1.01164671672542,NA,1.01164671672542
"907",2008-08-12,"CIK","rattlesnake","456C166834",NA,103,"sub.adult","male",NA,"",0.610492042117643,NA,0.610492042117643
"908",2008-08-13,"CIK","rattlesnake","430B187962",NA,258,"adult","female","nongravid","32",0.83553062216619,NA,0.83553062216619
"909",2008-08-13,"CIK","rattlesnake","433E245F02",NA,225,"adult","male",NA,"26.3",0.527667732350922,NA,0.527667732350922
"910",2008-08-13,"TER","rattlesnake","4551444D03",NA,262,"adult","male",NA,"42.8",0.872847336083192,NA,0.872847336083192
"911",2008-08-13,"CIK","rattlesnake","45555E6C23",NA,270,"adult","male",NA,"32",0.947480763917196,NA,0.947480763917196
"912",2008-08-13,"CIK","rattlesnake","45563C3159",NA,387,"adult","male",NA,"36.4",2.03899464598951,NA,2.03899464598951
"913",2008-08-13,"CIK, TER","rattlesnake","485F024713",NA,200,"adult","female","nongravid","",0.294438270369659,NA,0.294438270369659
"914",2008-08-14,"CIK","rattlesnake","43602D1948",NA,268,"adult","male",NA,"28.9",0.928822406958695,NA,0.928822406958695
"915",2008-08-14,"TER","rattlesnake","4702150B28",NA,160,"adult","male",NA,"29.7",0.0787288688003625,NA,0.0787288688003625
"916",2008-08-14,"CIK","rattlesnake","471E644E16",NA,312,"adult","male",NA,"28",1.33930626004572,NA,1.33930626004572
"917",2008-08-15,"CIK","rattlesnake","CO138150808",NA,38,"neonate",NA,NA,"28.2",1.21688864326893,NA,1.21688864326893
"918",2008-08-17,"Construction staff","rattlesnake","4603764235",NA,259,"adult","male",NA,"38",0.84485980064544,NA,0.84485980064544
"919",2008-08-18,"TER","rattlesnake","452F591833",NA,298,"adult","male",NA,"28.5",1.20869776133621,NA,1.20869776133621
"920",2008-08-18,"TER","rattlesnake","452F616938",NA,298,"adult","male",NA,"26.1",1.20869776133621,NA,1.20869776133621
"921",2008-08-18,"TER","rattlesnake","454B6B0F2A",NA,211,"adult","male",NA,"28.5",0.397059233641415,NA,0.397059233641415
