PIT TAG,DATE,Time,RESEARCHER,RECAP,CAUGHT 2022,SPECIES,WEATHER,CLOUD COV,AIR TEMP,GROUND TEMP,DET,BEHAVIOUR,MACRO HAB,MICRO HAB,LOCATION,Easting,NOrthing,DEN,PILLOW,SVL,S+B,BAG,MASS,SEX,AGE CLASS,REPRO,OVA COUNT,RELOC,REL TIME,REL DAY,REL LOC,DAY CAP,RATTLE,FOOD,POOP,COMMENTS
9.00254E+14,4/17/2022,18:05,CRH LPW,YES,NO,RATTLE,SUN,10%,16.1,25.4,SIGHT,BASKING,TALUS,ON ROCKS,DEN 6,322936,5435286,DEN 6,GRAY,53,199,105,94,F,SUB ADULT,NA,NA,NO,16:17,4/17/2022,DEN 6,0,"6 + BUTTOM, 3 SINCE 2019",NO,NO,
9.82091E+14,4/17/2022,18:05,CRH LPW,YES,NO,RATTLE,SUN,10%,16.1,25.4,SIGHT,BASKING,TALUS,ON ROCKS,DEN 6,322936,5435286,DEN 6,GRAY,54.9,271,105,166,F,ADULT,GRAVID,3,NO,16:29,4/17/2022,DEN 6,0,"4 BROKEN, 1 SINCE 2021",NO,NO,
9.82126E+14,4/17/2022,18:05,CRH LPW,YES,NO,RATTLE,SUN,10%,16.1,25.4,SIGHT,BASKING,TALUS,ON ROCKS,DEN 6,322936,5435286,DEN 6,GRAY,66.2,325,105,220,M,ADULT,NA,NA,NO,16:36,4/17/2022,DEN 6,0,"6 BROKEN, 0 SINCE 2021 ",NO,NO,
9.00254E+14,4/17/2022,18:05,CRH LPW,YES,NO,RATTLE,SUN,10%,16.1,25.4,SIGHT,BASKING,TALUS,ON ROCKS,DEN 6,322936,5435286,DEN 6,GRAY,50.9,191,105,86,F,SUB ADULT,NA,NA,NO,16:47,4/17/2022,DEN 6,0,"6 BROKEN, 1 SINCE 2021",NO,NO,
9.82091E+14,4/17/2022,18:05,CRH LPW,YES,NO,RATTLE,SUN,10%,16.1,25.4,SIGHT,BASKING,TALUS,ON ROCKS,DEN 6,322936,5435286,DEN 6,GRAY,47.4,175,105,70,M,ADULT,NA,NA,NO,16:58,4/17/2022,DEN 6,0,3 + BUTTON,NO,NO,
0A180D5F6E,4/17/2022,18:05,CRH LPW,YES,NO,RATTLE,SUN,10%,16.1,25.4,SIGHT,BASKING,TALUS,ON ROCKS,DEN 6,322936,5435286,DEN 6,GRAY,81.4,441,105,336,M,ADULT,NA,NA,NO,14:46,4/17/2022,DEN 6,0,"8 BROKEN, 1 SINCE 2021",NO,NO,"TELEMETRY SNAKE ""DRAGONAIR"""
9.82091E+14,4/17/2022,18:05,CRH LPW,YES,NO,RATTLE,SUN,10%,16.1,25.4,SIGHT,BASKING,TALUS,ON ROCKS,DEN 6,322936,5435286,DEN 6,PAISLEY,44.7,142,83,59,M,SUB ADULT,NA,NA,NO,17:24,4/17/2022,DEN 6,0,2 + BUTTON,NO,NO,
9.82091E+14,4/17/2022,18:05,CRH LPW,YES,NO,RATTLE,SUN,10%,16.1,25.4,SIGHT,BASKING,TALUS,ON ROCKS,DEN 6,322936,5435286,DEN 6,PAISLEY,50.2,179,83,96,M,SUB ADULT,NA,NA,NO,17:32,4/17/2022,DEN 6,0,"4 + BUTTON, 2 SINCE 2021",NO,NO,
9.82091E+14,4/19/2022,14:33,CRH LPW,NO,NO,RATTLE,CLOUD,100%,14.4,17.4,SIGHT,BASKING,TALUS,IN ROCKS,DEN 8,322061,5435697,DEN 8,PAISLEY,29.5,109,83,26,M,JUVENILE,NA,NA,NO,14:44,4/19/2022,DEN 8,0,BUZZY BUTTON,NO,NO,
9.89001E+14,4/19/2022,12:55,CRH LPW,YES,NO,RATTLE,SUN/CLOUD,40%,11.5,16.7,SIGHT,BASKING,ROCK OUTCROP,ON ROCKS,RC DEN,322479,5435557,RC DEN,BEIGE,76.7,381,73,308,M,ADULT,NA,NA,NO,13:34,4/19/2022,RC DEN,0,"10 BROKEN, 1 SINCE 2021",NO,NO,
9.89001E+14,4/20/2022,15:10,CRH LPW,YES,NO,RATTLE,CLOUD,95%,13.6,15.5,SIGHT,BASKING,TALUS,ON ROCKS,DEN 6,322936,5435286,DEN 6,GOLD,66.7,222,107,115,M,ADULT,NA,NA,NO,15:17,4/20/2022,DEN 6,0,"6 BROKEN, 1 SINCE 2021",NO,NO,"2016 TELEMETRY SNAKE ""GOLF"", SCARRING ON BODY, MAYBE ESCAPED A BIRD?"
