PIT TAG,DATE,Time,RESEARCHER,RECAP,SPECIES,WEATHER,CLOUD COV,AIR TEMP,GROUND TEMP,DET,BEHAVIOUR,MACRO HAB,MICRO HAB,LOCATION,Easting,Northing,DEN,PILLOW,SVL,S+B,BAG,MASS,SEX,AGE CLASS,REPRO,DIST BUI,DIST RD,DIR BUI,DIR RD,RELOC,REL TIME,REL DAY,REL LOC,DAY CAP,RATTLE,COMMENTS,"ELEVATION, M"
982126057821618,08-17-2019,11:10,"DME, SME",NO,GOPHER,SUNNY/CLOUDY,40%,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,OPEN FOREST,ON GROUND,N OF PINE BRIDGE,322148,5435051,NA,22,89.4,362,113,249,F,ADULT,NON GRAVID,>100,>100,S,S,NO,12:15,08-17-2019,SAME AS CAPTURE,0,,,
0A180D5F72,08-17-2019,8:11,"DME, SME",YES,RATTLE,SUNNY,0%,21.6,21.2,SIGHT,MOVING,OPEN FOREST,ON GROUND,20M NE OF VILLAGE,321994,5435419,NA,50,71.5,426,126,300,M,ADULT,NA,>150,>150,S,S,NO,8:20,08-17-2019,SAME AS CAPTURE,0,"5 BROKEN, 3 SHEDS SINCE 2017, 1 LARGE MOUSE IN STOMACH",,
982126057821626,08-20-2019,12:23,"DME, SME",NO,RATTLE,SUNNY,0%,32,34.7,SIGHT,COILED,TALUS,UNDER MEDIUM SIZED ROCK,5M SE OF HERMIONE ROOKERY,322052,5435733,NA,ZIPLOCK,25.9,30,12,18,M,NEONATE,NA,>150,>150,SW,SW,NO,12:40,08-20-2019,SAME AS CAPTURE,0,,,
989001006782047,08-20-2019,9:23,"DME, SME",YES,RATTLE,SUNNY,0%,24.1,22.9,SIGHT,MOVING,OPEN FOREST,ON GROUND,>200M NW OF DEN 5,321795,5435839,NA,50,53.45,228,128,100,F,ADULT,POST PARTUM,>150,>150,SW,SW,NO,9:31,08-20-2019,SAME AS CAPTURE,0,"2 SHEDS SINCE 2018, 5+B",,
982126057821727,08-21-2019,10:12,"DME, SME",NO,RATTLE,SUNNY/CLOUDY,30%,29.1,32.9,SIGHT,MOVING ,OPEN FOREST,NEXT TO LOG,20M W OF CHOPPED TREES NEAR RANCHER CREEK ,322408,5435413,NA,63,46.2,203,100,103,M,SUB ADULT,NA,>100,>100,SW,SW,NO,10:23,08-20-2019,SAME AS CAPTURE,0,"2+B MOUSE IN BELLY, VERY HEALTHY",,
989001006112864,08-24-2019,12:39,"DME, SME",YES,RATTLE,SUNNY/CLOUDY,50%,29,23.2,SIGHT,HIDING,SHRUB STEPPE,UNDER ROCK,RC DEN ,322479,5435557,RC DEN,43,,244,82,162,F,ADULT,POST PARTUM,>150,>150,SW,SW,NO,12:42,08-24-2019,SAME AS CAPTURE,0,RECAP FOR POST PARTUM WEIGHT-LUNA,,
989001006782097,08-24-2019,10:42,"DME, SME",YES,RATTLE,SUNNY/CLOUDY,30%,21.3,21.9,SOUND,MOVING,OPEN FOREST,ON GROUND,>100M W OF DEN 6,322909,5435228,NA,43,42.1,145,82,63,M,JUVENILE,NA,>100,>100,SW,SW,NO,10:48,08-24-2019,SAME AS CAPTURE,0,"2+B 1 SHED SINCE 2019, POOP IN BELLY",,
989001004384284,08-24-2019,13:15,"DME, SME",YES,RATTLE,SUNNY/CLOUDY,60%,26.9,23.3,SOUND,COURTING,SHRUB STEPPE,IN ANTELOPE BRUSH,PINE BRIDGE,322145,5435055,NA,43,67,324,82,242,M,ADULT,NA,<20,<20,SW,SW,NO,13:25,08-24-2019,SAME AS CAPTURE,0,ANOTHER MALE AND FEMALE RATTLESNAKE NEARBY MATING,,
0A1367756F,08-24-2019,13:30,"DME, SME",YES,RATTLE,SUNNY/CLOUDY,60%,26.9,23.3,SIGHT,MOVING ,SHRUB STEPPE,ON BRIDGE,PINE BRIDGE,322145,5435056,NA,43,71.7,370,82,288,M,ADULT,NA,<20,<20,SW,SW,NO,13:36,08-24-2019,SAME AS CAPTURE,0,"9+B, 1 SHED THIS YEAR",,
982126057821726,08-25-2019,13:50,"DME, SME ",YES,RATTLE,SUNNY/CLOUDY,25%,25.6,26.9,SOUND,COILED/HIDING,GRASSLAND,WITHIN ANTELOPE,>150 M DOWNSLOPE W DEN 5,321886,5435769,NA,5,60.6,275,128,147,F,ADULT,POST PARTUM,>150,>150,SW,SW,NO,18:57,08-25-2019,SAME AS CAPTURE,0,1 SHED THIS YEAR,,
