PIT TAG,DATE,Time,RESEARCHER,RECAPTURE,SPECIES,WEATHER,CLOUD COVE,WIND,AIR TEMP,GROUND TEM,DETECTION,BEHAVIOUR,MACRO HABI,MICRO HABI,LOCATION,Easting,Northing,DEN SITE,COMMENS,PILLOW CAS,SVL,S+B,BAG,MASS,SEX,AGE CLASS,BLOOD SAMP,SCALE CLIP,SCUTE MARK,GRAVID,DIST BUILD,DIST RD,DIR BUILD,DIR RD,REL DATE,REL TIME,REL RESEAR,REL LOCA,DAYS IN CA
0a180d6006,7/13/2015,10:47:52,JRM/KME,TRUE,NP RATTLESNAKE,SUNNY/CLOUDY,9-Aug,NO WIND,26.8,27.7,SIGHT,BASKING,SHRUB STEPPE,by rock,200m upslope dev,322886.1931,5434770.081, , ,73,54.2,225,57,168,FEMALE,ADULT,FALSE,FALSE,already have,Non-gravid,>100,>100,W,W,7/13/2015,10:55,JRM/KME,same as cap,0
989001004384284,7/15/2015,11:02:03,JRM/KME,FALSE,NP RATTLESNAKE,SUNNY,9-Mar,BREEZE,29,27.5,SIGHT,COILED,GOLF COURSE,under antelope brush,fairway 5,322439.2741,5434846.368, ,pittag tore skin streched from meal,14,30.5,129,80,49,MALE,JUVENILE,FALSE,FALSE, ,N/A,>100,>100,E,E,7/17/2015,12:45,JRM/KME,same as cap,2
4c3c5b7c13,7/17/2015,9:02:17,JRM/KME,TRUE,NP RATTLESNAKE,SUNNY,9-Jan,SLIGHT WIND,22.3,22.2,SIGHT,BASKING,ROCK PILE/SLIDE,open grass by rock,new den rookerie site,323284.241,5434749.391, ,cap same location in may,99,64,345,110,235,FEMALE,ADULT,FALSE,FALSE,already clpped and took blood,Gravid,>100,>100,W,W,7/17/2015,9:12,JRM/KME,same cap,0
989001004384318,7/15/2015,9:15:08,MAINTENANCE,FALSE,GOPHER SNAKE,UNKNOWN,UNKNOWN,UNKNOWN,0,0,UNKNOWN,UNKNOWN,CAMP GROUND,gravel road,site f15,321376.2893,5435179.249, , ,ab,77.5,269,101,170,FEMALE,ADULT,FALSE,TRUE,s104,Non-gravid, , , , ,7/17/2015,14:00,JRM/KME,high desert,2
0a1367754a,7/12/2015,8:12:19,MAINTENANCE,TRUE,NP RATTLESNAKE,UNKNOWN,UNKNOWN,UNKNOWN,0,0,UNKNOWN,UNKNOWN,CAMP GROUND,tall grass,behind office,321654.8525,5434630.405, ,didn't process- cap on july 7th,61,0,0,0,0,MALE,ADULT,FALSE,FALSE, ,N/A, , , , ,7/14/2015,13:00,JRM/KME,high desert,2
989001004384300,7/15/2015,14:23:37,INTERPRETERS,FALSE,RACER,UNKNOWN,UNKNOWN,UNKNOWN,0,0,UNKNOWN,UNKNOWN,RESIDENTIAL, ,backdoor,322132.3477,5434911.459, , ,67,58.5,172,88,0,FEMALE,SUB ADULT,FALSE,TRUE,s103,Non-gravid, , , , ,7/15/2015,13:40,JRM/KME,high desert,0
989001004384302,7/20/2015,8:11:07,JRM/KME,FALSE,NP RATTLESNAKE,CLOUDY,9-Jun,NO WIND,26.3,25.4,SOUND,COILED,SHRUB STEPPE,IN GRASS AND SHRUB,N RATTLESNAKE POINT,319293.075,5437477.348, ,bled from blood sample,13,63,377,131,246,FEMALE,ADULT,TRUE,TRUE,s105,Non-gravid,>100,>100,S,E,7/20/2015,8:29,JRM/KME,same as cap,0
 ,7/20/2015,9:58:54, ,FALSE, , , , ,0,0, , , , , ,319440.9616,5438103.889, , , ,0,0,0,0, , ,FALSE,FALSE, , , , , , ,7/20/2015, , , , 
0a180d5f7f,7/21/2015,10:43:57,JRM/KME,TRUE,NP RATTLESNAKE,SUNNY,9-Apr,NO WIND,29.4,29.8,SOUND,HIDING,SHRUB STEPPE,under large bouler,10m N 6th fairway,322517.8849,5435016.22, ,couldnt find vein,72,56.8,255,100,155,FEMALE,ADULT,FALSE,TRUE,s106,Non-gravid,>100,>100,SE,SE,7/21/2015,10:53,JRM/KME,same as cap,0
0a180d6001,7/21/2015,11:08:20,JRM/KME,TRUE,NP RATTLESNAKE,SUNNY,9-Apr,NO WIND,29.4,29.8,SIGHT,MOVING,SHRUB STEPPE,by sagebrush and rock,by fairway 6,322519.5404,5435014.259, ,cap near female,77,61.1,246,80,156,MALE,ADULT,FALSE,TRUE,s107,N/A,>100,>100,S,S,7/21/2015,11:18,JRM/KME,same as cap,0
989001004384322,7/22/2015,9:31:49,JRM/KME,FALSE,NP RATTLESNAKE,SUNNY,9-Jan,BREEZE,26.1,25.5,SIGHT,COILED,SHRUB STEPPE,under boards,rattlesnakepoint,319327.9978,5437573.181, ,irrigation holes coiled near female,69,73,452,90,362,MALE,ADULT,FALSE,FALSE,s108,N/A,>100,50-74,S,E,7/22/2015,9:55,JRM/KME,same as cap,0
989001004384302,7/22/2015,9:32:06,JRM/KME,TRUE,NP RATTLESNAKE,SUNNY,9-Jan,BREEZE,26.1,25.5,SIGHT,COILED,SHRUB STEPPE,under board irrigation holes,rattlesnake point,319327.5475,5437573.682, ,coiled near 2 male; still near bow,63,0,0,0,0,FEMALE,ADULT,FALSE,FALSE,already clipped procss 2 days ago,Non-gravid,>100,50-74,S,E,7/22/2015,9:30,JRM/KME,by cap,0
989001004384295,7/23/2015,10:06:58,JRM/KME,FALSE,NP RATTLESNAKE,SUNNY/CLOUDY,9-Aug,NO WIND,27.1,28.1,SIGHT,COILED,CAMP GROUND,under sage stem,W dev fence along 7 fairway,322600.7651,5434797.661, ,OBI,70,45.5,130,55,75,MALE,JUVENILE,FALSE,FALSE,no blood or scale too smalll,N/A,Oct-50,Oct-50,E,E,7/26/2015,9:32,JRM/KME,same as cap,3
4a1d060a3e,7/23/2015,11:16:40,JRM/KME,TRUE,NP RATTLESNAKE,SUNNY/CLOUDY,9-Jul,NO WIND,28.5,31.5,SIGHT,COILED,SHRUB STEPPE,antelopebrush,E fence CG vineyard,322428.0559,5434520.778, ,coiled with Yukon,67,62.3,280,85,195,MALE,ADULT,TRUE,TRUE,s109,Non-gravid,>100,50-74,E,S,7/23/2015,11:24,JRM/KME,same as cap,0
989001004384279,7/24/2015,12:00:42,JRM/KME,FALSE,NP RATTLESNAKE,CLOUDY,9-Sep,NO WIND,29.5,32,SOUND,COILED,SHRUB STEPPE,antelopebrush,rattlesnake point,319329.5968,5437702.963, , ,62,65.5,325,94,231,MALE,ADULT,TRUE,TRUE,s110,N/A,>100,Oct-50,S,W,7/24/2015,12:20,JRM/KME,same as cap,0
0a13677579,7/24/2015,14:27:25,JRM/KME,TRUE,NP RATTLESNAKE,SUNNY/CLOUDY,9-Jul,NO WIND,30.3,30.4,SIGHT,MOVING,GOLF COURSE,fairway,middle of fairway 6,322480.1868,5434938.429, ,could not find vein NOAH**,36,72.5,413,68,345,MALE,ADULT,FALSE,TRUE,s113,N/A,>100,>100,W,W,7/31/2015,7:15,JRM/KME,same as cap,7
4c3b6e6f56,7/26/2015,9:16:55,JRM/KME,TRUE,NP RATTLESNAKE,CLOUDY,9-Aug,NO WIND,21.8,22.5,SIGHT,COILED,CONSTRUCTION,open grasss near sage cover,W dev fence,322639.425,5434848.501, ,shed since cap 2 weeks ago,64,53.4,219,75,144,FEMALE,SUB ADULT,FALSE,FALSE,already clipped,Non-gravid,Oct-50,<10,E,E,7/26/2015,9:22,JRM/KME,same as cap,0
0a180d6006,7/26/2015,10:39:29,JRM/KME,TRUE,NP RATTLESNAKE,SUNNY/CLOUDY,9-Jul,BREEZE,21.8,24.3,SOUND,COILED,ROCK PILE/SLIDE,open grass b/w rocks,15m below dev den,323028.2499,5434835.68,dev den, ,99,54.2,275,112,163,FEMALE,ADULT,TRUE,FALSE,already clipped,Non-gravid,>100,>100,W,W,7/26/2015,10:45,JRM/KME,same as cap,0
4c3b5b4f36,7/26/2015,11:58:36,JRM/KME,TRUE,RACER,CLOUDY,9-Aug,BREEZE,30.4,30.8,SIGHT,MOVING,SHRUB STEPPE,in antelope brush,60m above dev fence,322763.2255,5434873.261, , ,13,63.3,232,131,101,FEMALE,ADULT,FALSE,FALSE,clipped prev.,Non-gravid,>100,>100,W,W,7/26/2015,12:07,JRM/KME,same as cap,0
0a180d5f6e,7/26/2015,13:48:23,JRM/KME,TRUE,NP RATTLESNAKE,SUNNY/CLOUDY,9-May,BREEZE,26.5,31.2,SIGHT,COILED,GOLF COURSE,under rock overhang,7th tee shed site,322678.243,5435065.903, ,coiled with another snake,60,64.5,310,110,200,MALE,ADULT,FALSE,TRUE,s111,N/A,>100,>100,S,S,7/26/2015,14:00,JRM/KME,same as cap,0
989001004384270,7/27/2015,10:03:29,JRM/KME,FALSE,GOPHER SNAKE,SUNNY,9-Mar,BREEZE,22.5,20.4,SIGHT,MOVING,SHRUB STEPPE,open sand,N rattlesnake point,318983.4484,5438019.092, , ,99,60.7,205,90,115,FEMALE,JUVENILE,FALSE,FALSE,too small,Non-gravid,>100,>100,S,S,7/27/2015,10:13,JRM/KME,same as cap,0
989001004384303,7/21/2015,5:45:02,MAINTENANCE,FALSE,GOPHER SNAKE,UNKNOWN,UNKNOWN,UNKNOWN,0,0,UNKNOWN,UNKNOWN,CAMP GROUND, ,site c120 CG,321483.651,5434761.227, , ,ab,75.7,282,102,180,FEMALE,ADULT,FALSE,TRUE,s112,Non-gravid,Oct-50,ON ROAD, , ,7/27/2015,13:17,JRM/KME,high desert,6
4a4e116d36,7/28/2015,10:39:30,JRM/KME,TRUE,NP RATTLESNAKE,SUNNY/CLOUDY,9-May,NO WIND,25.3,27.3,SIGHT,BASKING,GOLF COURSE,open ground,E edge fairway 7 near tee,322692.2955,5435004.019, , ,73,60,244,60,184,MALE,ADULT,TRUE,TRUE,s114,N/A,>100,>100,S,S,7/28/2015,10:49,JRM/KME,same as cap,0
989001004384326,7/29/2015,8:06:37,JRM/KME,FALSE,NP RATTLESNAKE,DAWN CLEAR,9-Mar,NO WIND,18.5,18.5,SIGHT,MOVING,CONSTRUCTION,open grass,25m N dev fence,322681.9385,5434895.564, ,2 buttons,67,38.7,89,135,46,MALE,JUVENILE,FALSE,FALSE,too small for blood and scale,N/A,74-99,Oct-50,S,S,7/29/2015,8:21,JRM/KME,same as cap,0
0a180d5f3a,7/29/2015,10:11:27,JRM/KME,TRUE,NP RATTLESNAKE,SUNNY/CLOUDY,9-Mar,NO WIND,22.6,22.5,SOUND,BASKING,ROCK PILE/SLIDE,open grass overhanging rock,bottom of den6 gully,322675.2807,5435193.936, ,detected young,61,69.7,310,85,225,FEMALE,ADULT,TRUE,TRUE,s115,Gravid,>100,>100,S,S,7/29/2015,10:21,JRM/KME,near Cap,0
989001004384320,7/31/2015,22:05:02,MAINTENANCE,FALSE,NP RATTLESNAKE,UNKNOWN,UNKNOWN,UNKNOWN,0,0,UNKNOWN,UNKNOWN,CAMP GROUND, ,washroom 3 near laundry,321544.5595,5434549.741, , ,44,37,149,98,51,MALE,JUVENILE,FALSE,FALSE, ,N/A,<10,ON ROAD,E, ,8/1/2015,12:30,JRM/KME,high desert,3
989001004384278,8/2/2015,8:03:37,JRM/KME,FALSE,RACER,DUSK CLEAR,9-Jan,NO WIND,22.4,22.3,SIGHT,COILED,SHRUB STEPPE,open groudagainst old sage stem,approx 200m N dev den,322955.4592,5434963.972, ,scaring on side and around vent,62,55.1,172,95,87,MALE,ADULT,FALSE,TRUE,s116,N/A,>100,>100,W,W,8/2/2015,8:17,JRM/KME,same as cap,0
989001004384301,8/2/2015,10:38:44,JRM/KME,FALSE,NP RATTLESNAKE,SUNNY,0/9,NO WIND,29.1,30,SOUND,MOVING,GOLF COURSE,antelopebrush,b/w 7th fairway and W dev fence,322634.7384,5434851.998, ,recently fed NECHAKO,77,42.6,156,81,75,MALE,JUVENILE,FALSE,FALSE,no scale no Blood,N/A,Oct-50,<10,E,E,8/11/2015,6:56,JRM/KME,same as cap,9
