PIT TAG,DATE,Time,RESEARCHER,RECAP,SPECIES,WEATHER,CLOUD COV,AIR TEMP,GROUND TEM,DET,BEHAVIOUR,MACRO HAB,MICRO HAB,LOCATION,Easting,Northing,SITE,DEN,PILLOW,SVL,S+B,BAG,MASS,SEX,AGE CLASS,REPRO,BLOOD 1,BLOOD 1 TI,BLOOD 2,BLOOD 2 TI,SCALE,DIST BUI,DIST RD,DIR BUI,DIR RD,RELOC,REL TIME,REL DAY,REL LOC,DAY CAP,COMMENTS
989001005040894,5/14/2016,14:53:33,JRM/CH,FALSE,RACER,SUNNY/CLOUDY,7,28.9,34.7,SIGHT,MOVING,SHRUB STEPPE,open grass against fence,N CG fence,321204.2206,5435575.839,SOUTH, ,77,58,139,85,54,MALE,ADULT,N/A, , , , , ,75-100,75-100,W,W,FALSE,1500,14-May,same as cap,0, 
989001005040817,5/14/2016,15:18:59,JRM/CH,FALSE,RACER,SUNNY/CLOUDY,7,29.8,36.6,SIGHT,COURTING/MATING,SHRUB STEPPE,open sand,N CG fence,321506.2211,5435125.724,SOUTH, ,15,47.9,134,90,44,MALE,ADULT,N/A, , , , , ,50-75,50-75,W,W,FALSE,1528,14-May,same as cap,0, 
989001005040861,5/14/2016,15:19:15,JRM/CH,FALSE,RACER,SUNNY/CLOUDY,7,29.6,37,SIGHT,COURTING/MATING,SHRUB STEPPE,fence,N CG fence,321506.3245,5435125.509,SOUTH, ,36,55.5,145,69,76,FEMALE,ADULT,GRAVID, , , , , ,50-75,50-75,W,W,FALSE,15:39,14-May,same as cap,14-May,4/5 ova detected
989001005040865,5/14/2016,16:02:01,JRM/CH,FALSE,RACER,SUNNY/CLOUDY,8,30.1,34.1,SIGHT,MOVING,CAMPGROUND,open grass aling fence,N CG fence,321564.5612,5434859.91,SOUTH, ,77,49.2,125,80,45,MALE,ADULT,N/A, , , , , ,>100,>100,W,W,FALSE,1608,14-May,near cap,0, 
4845663a49,5/15/2016,9:12:24,JRM/CH/KH,TRUE,RATTLESNAKE,SUNNY/CLOUDY,7,19,20,SIGHT,COILED,GOLF COURSE,sage,east edge hole 5,322423.0636,5434871.287,SOUTH, ,63,63.9,330,101,229,FEMALE,ADULT,GRAVID,b16-09a,5:40,b16-09b,19:30,s16-09,>100,>100,SE,SE,FALSE,9:25,15-May,same as cap,15-May,4 ova dettected
989001005040858,5/15/2016,9:56:47,JRM/CH/KH,FALSE,RATTLESNAKE,SUNNY/CLOUDY,4,20.7,23,SIGHT,COILED,GOLF COURSE,beside cart path,5th teebox,322536.8192,5434698.181,SOUTH, ,60,39.3,154,110,44,FEMALE,JUVENILE,NON GRAVID,b16-10,5:07,b16-10b,18:04,to small,>100,>100,E,E,FALSE,1005,15-May,same as cap,0, 
0a180d5f42,5/15/2016,10:43:04,JRM/CH/KH,TRUE,RATTLESNAKE,SUNNY/CLOUDY,4,27.3,30.5,SOUND,UNKNOWN,CONSTRUCTION,under antelopebrush,NW dev fence,322636.6585,5434848.786,SOUTH, ,28,59.4,281,108,173,MALE,ADULT,N/A, , , , , ,Oct-50,<10,E,E,FALSE,1046,15-May,same as cap,0,congo
989001005040913,5/15/2016,12:07:21,JRM/CH/KH,FALSE,RACER,SUNNY/CLOUDY,8,29.5,27.5,SIGHT,BASKING,CONSTRUCTION,open grass,2m from NE dev fence,322736.7273,5434861.244,SOUTH, ,63,63.4,208,100,108,FEMALE,ADULT,OVA DETECTED, , , , , ,50-75,50-75,SW,SW,FALSE, ,15-May,near cap,0,5 ova
 ,5/15/2016,12:25:30,JRM/CH/KH,FALSE,RATTLESNAKE,SUNNY/CLOUDY,6,27.7,28.6,SIGHT,MOVING,CONSTRUCTION,open sand under temp fence,E dev fence,322749.3384,5434809.553,SOUTH, , ,0,0,0,0,UNKNOWN,, , , , , , ,75-100,75-100,W,W,FALSE,1226,15-May,upslope of cap,0, 
989001004384237,5/15/2016,13:52:40,JRM/CH/KH,TRUE,RACER,SUNNY,4,33,34.4,SIGHT,MOVING,SHRUB STEPPE,open grss,20m N fairway 6,322471.8972,5434985.958,SOUTH, ,14,58,159,75,84,MALE,ADULT,N/A, , , , , ,>100,>100,SW,SW,FALSE,1354,15-May,same as cap,0, 
4c16372b3a,5/16/2016,9:06:50,JRM/CH/KH,TRUE,RATTLESNAKE,SUNNY,0,25.4,28.4,SIGHT,MOVING,SHRUB STEPPE,sand against fence,near new horse stables,321801.9898,5434703.854,SOUTH, ,61,57.4,215,80,135,FEMALE,ADULT,NON GRAVID,b16-11a,8:17,b16-11b,19:15,s16-11,Oct-50,Oct-50,SE,SE,TRUE,920,16-May,near cap,0, 
989001004384298,5/16/2016,9:31:58,JRM/CH/KH,TRUE,RATTLESNAKE,SUNNY,0,25.1,27.6,SOUND,BASKING,SHRUB STEPPE,sand near fence,inside fence,321789.0877,5434681.058,SOUTH, ,68,65.5,349,144,205,MALE,ADULT,N/A, , , , , ,Oct-50,Oct-50,SE,SE,TRUE,937,16-May,outside fence,0, 
989001005040848,5/16/2016,9:47:50,JRM/CH/KH,FALSE,RATTLESNAKE,SUNNY,1,23.4,24.8,SOUND,BASKING,SHRUB STEPPE,open grass,CG fence inside,321767.7066,5434668.273,SOUTH, ,68,56.2,264,140,124,FEMALE,ADULT,NON GRAVID,b16-12a,3:17,b16-12b,16:28,s16-12,>100,>100,S,S,TRUE,1006,16-May,outside fence,0,found against inside
989001005040855,5/16/2016,10:13:52,JRM/CH/KH,FALSE,RATTLESNAKE,SUNNY,1,23,23,SIGHT,MOVING,SHRUB STEPPE,near fence,fence near campground,321741.1808,5434691.065,SOUTH, ,62,53.6,208,85,123,MALE,SUB-ADULT,N/A,na, ,b16-13b,17:29,s16-13,Oct-50,Oct-50,SW,SW,FALSE,1036,16-May,same as cap,0, 
989001005040875,5/16/2016,12:36:21,JRM/CH/KH,FALSE,RATTLESNAKE,SUNNY,1,30,36,SIGHT,MOVING,SHRUB STEPPE,antelope brush,north desert,320464.5286,5436506.379,NORTH, ,62,57.1,246,90,156,MALE,ADULT,N/A,b16-14a,3:45,b16-14b,20:09,s16-14,>100,>100,NW,NW,FALSE,12:58,16-May,same as cap,0,recently fed
989001005040818,5/16/2016,15:33:00,JRM/CH/KH,FALSE,RATTLESNAKE,SUNNY,4,35.2,37.7,SOUND,BASKING,RIPARIAN,open gravell,road to kids camp,321058.794,5435644.177,SOUTH, ,62,55.8,214,90,124,FEMALE,ADULT,NON GRAVID,b16-15a,3:12,b16-15b,15:00,s16-15,>100,ON ROAD,SE,N/A,FALSE,1549,16-May,same as cap,0, 
456a29484f,5/17/2016,8:24:16,CRH/HB,FALSE,RATTLESNAKE,SUNNY,0,17.4,18.1,SIGHT,BASKING,GOLF COURSE,tall grass,hole 5 east edge,322404.3759,5434892.894,SOUTH, ,15,74.5,345,90,255,MALE,ADULT,N/A, , , , , ,>100,>100,SE,SE,FALSE,8:25,17-May,same as cap,0,rattle not painted
0a13654b6f,5/16/2016,18:30:00,MAINTENANCE,TRUE,RATTLESNAKE,UNKNOWN,UNKOWN,0,0,UNKNOWN,UNKNOWN,CAMPGROUND, , ,321532.378,5434713.8,SOUTH, , ,62.5,183,75,0,FEMALE,ADULT,NON GRAVID, , , , , ,<10,<10,W,W,TRUE,3:38,17-May,high desert,1,gave Birth last year
0a180d5f66,5/17/2016,9:42:05,MAINTENANCE,TRUE,GOPHER SNAKE,UNKNOWN,UNKOWN,0,0,UNKNOWN,UNKNOWN,RESIDENTIAL,unknown,path b/w GC and spirit Ridge,322197.1616,5434820.795,SOUTH, ,67,85.8,321,130,191,FEMALE,ADULT,NON GRAVID, , , , , ,<10,<10,W,W,TRUE,13:25,17-May,high desert,0, 
