Categories,PIT Tag #,Date,Time,Researcher,Spp,Encounter,Detection,Recap,Location,Mode,Avg Count,Error,Elevatlon,Easting,Northing,Waypoint,Habitat,Weather,Cloud cover,Ta,Tg,Comments,Pillow case,SVL,VTL,S + B,Bag,Mass,Sex,Age class,Gravid,Rattle paint,Photo #,Comments,Rel date,Rel time,Rel researcher,Days in captivity,Rel locatlon,Behaviour,Record #,Type
Unfiled,4A4F520166,05/25/2008,05:27 PM,OMM,Rattlesnake,,Sight,No,High desert,3D diff,75,4.4,329,322,543,CO36250508,"Shrub-steppe, Grassland","Overcast, Cool, Windy",,24.6,23.8,,Candy stripe,,3.6,282,80,202,Female,Adult,No,"Gold, Red, Fuchsia",,,05/27/2008,04:23 PM,CIK,2,At capture location,Coiled,2008-36,Capt
Unfiled,452E52580A,05/25/2008,05:53 PM,OMM,Rattlesnake,,Sight,No,Snake fence-opp. office,3D diff,,,,322,543,147,Shrub-steppe,"Overcast, Windy, Cool",100,24.6,23.8,Snake fence outside,Blue rose,,5.9,298,92,206,Male,Adult,NA,"Citrus green, Royal blue, Fuchsia",,,05/26/2008,04:19 PM,CIK,1,Riperian - pumphouse,Coiled,2008-37,Capt
Unfiled,4A4F691147,05/25/2008,06:54 PM,GC staff,Rattlesnake,,Sight,No,Golf Course,,,,,322,543,,"CG, Fairway","Overcast, Light showers",100,21.5,22.8,,Yellow flowers,60.6,5,307,123,184,Male,Adult,NA,"Gold, Red, Blue bell",,,05/26/2008,03:47 PM,CIK,1,Lone Pine bridge,On the move,2008-38,Capt
Unfiled,46566C1407,05/26/2008,08:54 AM,,,,,,Golf Course,,,,,322,543,,,,,,,,Pink flowers,,5.3,317,125,192,Male,Adult,NA,"Citrus green, Car pink, Fuchsia",,,05/26/2008,11:48 AM,CIK,,"Close to cap location, better cover",,2008-39,
Unfiled,4579506371,05/25/2008,10:30 PM,CG staff,Rattlesnake,,Sight,Yes,Campground site5,,,,,322,543,CO40250508,"CG, Road","Overcast, Light showers",100,,,,Light thin blue stripe,,3.6,221,76,145,Female,Adult,No,"Citrus green, Lt blue, Blue bell",,,05/27/2008,02:59 PM,CIK,2,Pine tree bridge,On the move,2008-40,08recap
Unfiled,CO41240508,05/24/2008,10:32 PM,CG staff,Rattlesnake,,Sight,No,Campground site1,,,,,322,543,CO41240508,"CG, Road","Dusk, Warm",25,,,,,,2.1,14,0,14,,Neonate,,Gold,,,05/29/2008,03:58 PM,CIK,5,Riperian - pumphouse,On the move,2008-41,Capt
Unfiled,452F7D6B3B,05/26/2008,12:50 PM,CG staff,Rattlesnake,,Sight,No,Spirit Beach Marina,,,,,322,543,,"CG, Road","Sunny, Hot",10,,,,,,6.3,354,75,279,Male,Adult,NA,"Fuchsia, Blue bell, Citrus green",,Fed a mouse looked dehydrated,05/29/2008,04:47 PM,CIK,3,Village riperean,On the move,2008-42,Capt
Unfiled,43604A3027,05/27/2008,08:30 PM,CG staff,Rattlesnake,,,,Campground site 4,,,,,322,543,,"CG, Road","Cloudy, Warm",75,,,,8,,6.1,400,96,304,Male,Adult,NA,Solid royal blue,,"Mr Wick-removal
Surgery 03/06/08",,,,,,On the move,2008-43,Capt
Unfiled,4A254C6501,05/30/2008,10:35 AM,CIK,Rattlesnake,,Sight,No,Lower trail near Cottonwood,3D diff,27,4.5,,322091,5435144,CO44300508-152,"Shrub-steppe,  Antelope brush","Sunny, Hot",5%,27.4,24.6,,7,66.2,4.5,289,92,197,Male,Adult,NA,"Gold, Pt purple,  Fiesta yellow",,,05/30/2008,01:00 PM,CIK,,At capture location,Coiled,2008-44,Capt
Unfiled,430F79466A,06/01/2008,03:00 PM,CG staff,Rattlesnake,,Sight,No,Campground Site 150,3D diff,21,4.9,278,321428,5434910,CO45010608,"CG, Road","Overcast, Warm",100,,,,Troll,70.1,5.6,318,85,233,Male,Adult,NA,"Fiesta yellow, Royal blue",,Old transmitter - McBain,06/02/2008,02:04 PM,CIK,1,Riperian - pumphouse,On the move,2008-45,Capt
Unfiled,CO46010608,06/01/2008,03:00 PM,CG staff,Rattlesnake,,Sight,No,Campground -Site150,,,,,322,543,CO46010608,"CG, Road","Overcast, Warm",100,,,,Grey,,2,16,0,16,,Neonate,,Gold,,,06/03/2008,02:24 PM,CIK,2,Riperian - pumphouse,On the move,2008-46,Capt
Unfiled,CO47010608,06/01/2008,04:10 PM,CG staff,Rattlesnake,,Sight,No,Campground - office,,,,,322,543,CO47010608,"CG, Road","Overcast, Warm",100,,,,,,2.6,110,94,16,,Neonate,,Gold,,,06/03/2008,02:24 PM,CIK,2,Riperian - pumphouse,On the move,2008-47,Capt
Unfiled,44617D154F,06/02/2008,12:10 PM,"OMM, CIK",Rattlesnake,,Sight,No,Village riparian,3D diff,31,3.1,325,322000,5435244,CO48020608,"Riparian, snow berry","Cloudy, Warm",100,22.2,24,,9,,6.1,350,104,246,Male,Adult,NA,"Fuchsia, Red, Blue bell",,,06/02/2008,02:04 PM,CIK,,At capture location,On the move,2008-48,Capt
Unfiled,497D6F6274,06/02/2008,12:35 PM,"OMM, CIK",Rattlesnake,,Sight,No,Pinetree bridge,3D diff,47,3.1,329,322150,5435048,161,"Shrub-steppe, Antelope brush","Cloudy, Warm",75,25.2,26.6,,3,56.2,4.6,279,92,187,Male,Adult,NA,"Gold, Pt purple, Tango blue",,,06/02/2008,02:59 PM,CIK,,At capture location,On the move,2008-49,Capt
Unfiled,CO50030608,06/03/2008,03:15 PM,CG staff,Rattlesnake,,Sight,No,Campground - office,3D diff,47,4.2,297,321633,5434610,CO50030608,"CG, , office","Overcast, Warm",100,25.7,25.4,,,,,16,0,16,,Neonate,,Gold,,,,,,,,On the move,2008-50,Capt
